,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
50,No,No,Beer & Wine Only,Casual,Casual,No,French; Malaysian; Asian Fusion; ,Yes,Yes,No,Yes,"Lunch, Dinner",No,Yes,No,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Aux Epices,Little Italy,4.0,281,10013,121 Baxter St
51,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vietnamese; Breakfast & Brunch; French; ,Yes,Yes,No,Yes,"Brunch, Lunch, Dinner",Yes,Yes,NA,Yes,Yes,NA,No,A,Yes,Yes,Average,Yes,NA,Yes,Yes,Yes,Yes,Free,$11-30,BoCaphe,SoHo,4.0,967,10012,222 Lafayette St
52,NA,Yes,NA,NA,NA,NA,Vietnamese; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vietspot,TriBeCa,4.0,15,10013,200 Church St
53,No,Yes,No,NA,NA,No,Food Trucks; Thai; ,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,Yes,No,No,Yes,No,NA,Warung Roadside,Bushwick,4.5,10,11237,NA
54,NA,Yes,Beer & Wine Only,"Hipster, Casual",Casual,NA,Asian Fusion; Japanese; American (New); ,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,Yes,Yes,NA,No,NA,Yes,No,NA,Yes,Free,$11-30,Omakasa,Nolita,4.0,57,10012,56 Spring St
55,NA,No,No,Casual,Casual,Yes,Indonesian; Malaysian; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Sanuria,"Chinatown, Civic Center",3.5,218,10013,18 Doyers St
56,NA,No,No,Casual,Casual,Yes,Taiwanese; Chinese; Noodles; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Taiwan Pork Chop House,"Chinatown, Civic Center",4.0,351,10013,3 Doyers St
57,NA,Yes,Full Bar,"Divey, Casual",Casual,Yes,Seafood; Chinese; Asian Fusion; ,Yes,Yes,NA,Yes,"Dinner, Late Night",Yes,No,NA,NA,NA,NA,Yes,NA,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Fishmarket Restaurant,South Street Seaport,4.5,464,10038,111 South St
58,NA,Yes,Full Bar,Trendy,Casual,Yes,Asian Fusion; Portuguese; Chinese; ,No,Yes,NA,Yes,"Dinner, Late Night",Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,Free,$31-60,Macao trading Co,TriBeCa,4.0,685,10013,311 Church St
59,NA,Yes,Full Bar,Upscale,Dressy,Yes,Steakhouses; Kosher; Asian Fusion; ,Yes,Yes,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,NA,Yes,Yes,Yes,NA,Free,Above $61,Reserve Cut,Financial District,4.0,229,10004,40 Broad StFl 2
