,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
122,Union Square Cafe,101 E 19th St,10003,1104,4.0,"Flatiron, Gramercy",A,$31-60,Yes,Yes,No,No,Yes,No,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,No,No,Free,No,NA,NA,No,American (New); Cafes; Bars; ,NA,NA,Yes,NA,Dinner,Classy,Yes
123,Adalya,55 Irving Pl,10003,118,4.0,"Gramercy, Union Square, Flatiron",B,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,Yes,No,No,NA,Yes,Yes,Mediterranean; ,NA,NA,NA,NA,Late Night,"Trendy, Intimate, Romantic, Classy",NA
124,Eleven Madison Park,11 Madison Ave,10010,1927,4.5,Flatiron,A,Above $61,Yes,Yes,No,No,Yes,NA,Street,No,NA,No,Yes,Dressy,Quiet,Full Bar,No,No,No,No,NA,NA,No,American (New); French; Cocktail Bars; ,NA,NA,Yes,NA,Dinner,"Classy, Upscale",NA
125,Bite,211 E 14th St,10003,592,4.0,Gramercy,A,Under $10,Yes,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,NA,Average,Beer & Wine Only,NA,No,Free,Yes,NA,NA,Yes,Sandwiches; Salad; Mediterranean; ,Yes,NA,Yes,NA,Lunch,Casual,Yes
126,Farmer & The Fish- Gramercy,245 Park Ave S,10003,234,3.5,"Flatiron, Gramercy",B,$31-60,Yes,Yes,No,Yes,Yes,NA,Street,No,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,NA,Yes,Yes,American (Traditional); Seafood; ,NA,NA,NA,NA,"Lunch, Dinner","Casual, Trendy",Yes
127,Novita Restaurant,102 E 22nd St,10010,278,4.0,"Flatiron, Gramercy",A,$31-60,NA,Yes,No,Yes,Yes,NA,Street,No,NA,No,No,Dressy,Average,Full Bar,NA,Yes,No,No,NA,Yes,No,Italian; ,NA,NA,NA,NA,Dinner,NA,NA
128,ilili,236 5th Ave,10001,2188,4.0,Flatiron,A,$31-60,Yes,Yes,Yes,Yes,Yes,NA,Street,No,NA,No,Yes,Dressy,Average,Full Bar,Yes,Yes,No,No,No,Yes,Yes,Mediterranean; Lebanese; Cocktail Bars; ,NA,NA,NA,NA,Dinner,Trendy,Yes
129,Friend of A Farmer,77 Irving Pl,10003,1171,3.5,"Gramercy, Flatiron",B,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,No,NA,Yes,Yes,Casual,Average,Full Bar,NA,Yes,No,No,NA,NA,Yes,Breakfast & Brunch; American (Traditional); Desserts; ,NA,NA,NA,NA,Brunch,Casual,Yes
130,Eataly,200 5th Ave,10010,5130,4.0,Flatiron,NA,$11-30,Yes,Yes,Yes,No,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Loud,Full Bar,No,Yes,Free,No,No,NA,Yes,Italian; Grocery; Cafes; ,Yes,Yes,Yes,Yes,"Lunch, Dinner",Touristy,NA
131,Barbounia,250 Park Ave S,10003,1140,3.5,Flatiron,A,$31-60,Yes,Yes,No,Yes,Yes,No,Street,No,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,NA,NA,No,Greek; Mediterranean; Middle Eastern; ,NA,NA,NA,NA,Brunch,Trendy,Yes
132,Taverna Kyclades - East Village,228 1st Ave,10009,736,4.0,"East Village, Stuyvesant Town",B,$11-30,Yes,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,No,NA,No,Greek; Seafood; Mediterranean; ,NA,Yes,Yes,Yes,Dinner,Casual,NA
133,Almayass Restaurant NYC,24 E 21st St,10010,397,4.0,Flatiron,A,$31-60,NA,Yes,Yes,Yes,Yes,No,"Garage, Street",No,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,No,NA,NA,Yes,Mediterranean; Armenian; Lebanese; ,NA,NA,NA,NA,Dinner,Classy,NA
