,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,Hygiene_score,price_range,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Accepts Google Pay,Accepts Bitcoin,Good For,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Gender Neutral Restrooms,Has Dairy-free Options,Liked by Vegetarians,Liked by Vegans,Good For Dancing,Best Nights,Good for Working,Has Pool Table,Open to All,Coat Check,Has Soy-free Options,Has Gluten-free Options,Smoking,Has Kosher Options,Offers Military Discount
91,Barn Joo,35 Union Sq W,10003,1314,4.0,A,$11-30,Yes,Yes,Yes,Yes,No,No,No,Dinner,Street,Yes,Yes,No,Yes,Casual,"Casual, Trendy",Average,Full Bar,Yes,Yes,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"Wed, Thu, Fri",NA,No,NA,No,Yes,Yes,No,NA,NA
92,Ms Yoo,163 Allen St,10002,93,4.0,A,$31-60,Yes,Yes,Yes,Yes,NA,NA,NA,Dinner,Street,No,Yes,No,Yes,Casual,"Trendy, Intimate",Average,Full Bar,Yes,No,Free,No,NA,Yes,NA,NA,NA,NA,NA,No,"Mon, Thu, Sun",NA,No,NA,No,NA,NA,No,NA,NA
93,Hortus NYC,271 5th Ave,10016,45,4.5,NA,NA,Yes,No,No,Yes,Yes,Yes,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,Beer & Wine Only,Yes,Yes,Free,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
94,The Dumpling Shop,124 2nd Ave,10003,53,4.5,A,NA,No,No,Yes,Yes,NA,NA,No,NA,Street,No,No,NA,NA,Casual,NA,Quiet,No,No,No,Free,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
95,Kori Tribeca,253 Church St,10013,452,4.0,C,$11-30,Yes,Yes,Yes,Yes,No,NA,NA,Dinner,"Garage, Street",Yes,NA,No,Yes,Casual,Intimate,Average,Beer & Wine Only,NA,No,No,No,No,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,The Bari,417 Lafayette St,10003,120,4.0,NA,$11-30,Yes,Yes,Yes,Yes,No,No,No,Dinner,"Garage, Street, Private Lot",No,Yes,No,Yes,Casual,"Trendy, Romantic, Classy, Upscale",NA,Full Bar,Yes,No,No,No,No,Yes,No,Yes,NA,Yes,Yes,No,Fri,NA,No,NA,Yes,Yes,NA,No,NA,NA
97,Silver Factory,270 South 5th St,11211,120,4.5,NA,$11-30,Yes,Yes,Yes,Yes,No,No,No,NA,"Garage, Street",No,No,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fri,NA,No,Yes,No,NA,NA,Outdoor Area / Patio Only,NA,NA
98,To Two Boonsik,97 Canal St,10002,114,4.0,A,$11-30,No,No,Yes,No,No,No,No,"Lunch, Dinner",NA,No,Yes,Yes,Yes,Casual,Casual,Quiet,No,NA,No,No,No,No,No,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Tofu Tofu,96 Bowery,10013,226,4.5,A,$11-30,Yes,Yes,Yes,Yes,No,NA,No,"Brunch, Lunch, Dinner",Street,No,Yes,Yes,Yes,Casual,Casual,Average,No,NA,No,Free,No,No,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Take31,15 E 31st St,10016,474,4.0,NA,$11-30,No,Yes,Yes,Yes,No,No,NA,"Dinner, Late Night",Street,No,Yes,No,Yes,Casual,Casual,Loud,Beer & Wine Only,No,No,Free,No,NA,NA,Yes,Yes,NA,NA,NA,No,"Tue, Fri, Sat",NA,No,NA,No,NA,NA,No,NA,NA
101,Kyo Ya,94 E 7th St,10009,432,4.5,A,Above $61,Yes,No,No,Yes,No,NA,NA,Dinner,Street,No,NA,No,No,Casual,Classy,Quiet,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Bowllin’,27 Waverly Pl,10003,95,3.5,A,$11-30,No,Yes,Yes,Yes,No,NA,No,"Lunch, Dinner",Street,No,No,Yes,No,Casual,Casual,Average,Beer & Wine Only,NA,No,Free,No,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Azumma,265 Canal St,10013,1,5.0,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Hanjan,36 W 26th St,10010,373,4.0,A,$31-60,Yes,No,Yes,Yes,No,No,No,Dinner,Street,No,NA,No,Yes,Casual,Trendy,Average,Full Bar,Yes,No,No,No,NA,NA,Yes,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Grand Seoul,85 Chrystie St,10002,41,4.5,A,$31-60,Yes,No,Yes,Yes,No,NA,NA,NA,Street,No,Yes,Yes,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,No,No,Free,No,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
106,Jungsik,2 Harrison St,10013,509,4.5,NA,Above $61,Yes,No,No,Yes,No,No,NA,Dinner,Street,Yes,NA,No,Yes,Dressy,"Classy, Upscale",Quiet,Full Bar,NA,No,Paid,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,GunBae,67 Murray St,10007,206,4.0,A,$31-60,Yes,Yes,Yes,Yes,NA,NA,No,"Lunch, Dinner",Street,No,Yes,Yes,Yes,Casual,"Casual, Classy",Average,Full Bar,Yes,No,Free,Yes,No,Yes,Yes,Yes,NA,NA,NA,No,"Mon, Sat",NA,NA,NA,No,NA,NA,No,NA,NA
108,Woo SoHo,206 Spring St,10012,21,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Kori Tribeca,253 Church St,10013,452,4.0,C,$11-30,Yes,Yes,Yes,Yes,No,NA,NA,Dinner,"Garage, Street",Yes,NA,No,Yes,Casual,Intimate,Average,Beer & Wine Only,NA,No,No,No,No,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Mono+Mono,116 E 4th St,10003,335,4.0,NA,$11-30,Yes,No,Yes,Yes,NA,NA,NA,Dinner,Street,NA,NA,No,Yes,NA,Trendy,Average,Beer & Wine Only,NA,No,No,No,NA,NA,No,NA,NA,Yes,NA,NA,"Thu, Fri, Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA
