,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
1120,NA,No,No,NA,Casual,NA,Chinese; ,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,A,NA,NA,Quiet,No,NA,Yes,No,NA,NA,NA,Under $10,King House,Washington Heights,3.5,12,10032,1053 Saint Nicholas Ave
1121,NA,Yes,No,NA,Casual,NA,Chinese; ,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Free,$11-30,River House Chinese Cuisine,NA,4.0,58,07020,725 River Rd
1122,NA,Yes,No,Casual,Casual,No,Chinese; ,NA,No,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,NA,Under $10,Little China City,Fordham,4.5,20,10458,371 E Fordham Rd
1123,NA,Yes,No,"Casual, Trendy",Casual,Yes,Chinese; Noodles; ,Yes,Yes,No,NA,"Lunch, Dinner",No,Yes,NA,NA,Yes,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,Yes,No,$11-30,The Handpulled Noodle,Harlem,4.0,573,10031,3600 BroadwaySte 3
1124,NA,No,Beer & Wine Only,NA,Casual,Yes,Chinese; Cuban; ,NA,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,NA,Yes,No,NA,NA,Free,$11-30,La Nueva Win Hing Restaurant,Concourse,3.5,22,10452,40 E 167th St
1125,NA,Yes,NA,NA,NA,NA,Chinese; Asian Fusion; ,NA,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Chinito Latino,Washington Heights,3.5,17,10040,122 Dyckman St
1126,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A,NA,NA,Loud,NA,NA,Yes,NA,NA,NA,NA,Under $10,Oriental Chinese Restaruant,Washington Heights,3.5,2,10032,3774 Broadway
1127,NA,No,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,Happy Garden,High Bridge,4.5,3,10452,1150 Ogden Ave
1128,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,NA,No,$11-30,Mei Chung Mei Restaurant,Kingsbridge,4.0,15,10463,157 W 231st St
1129,NA,Yes,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,No,NA,NA,Under $10,No.1 Chinese Restaurant,Washington Heights,2.5,11,10032,3853 Broadway
1130,NA,NA,No,NA,Casual,NA,Shanghainese; Noodles; Soup; ,NA,NA,No,NA,NA,Yes,Yes,No,NA,NA,NA,Yes,NA,NA,NA,Average,No,NA,Yes,No,Yes,NA,NA,NA,Dumpling Den,NA,4.0,54,07024,249 Main St
1131,NA,No,No,NA,Casual,No,Chinese; ,No,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,NA,Yes,No,Yes,NA,No,Under $10,Eastern Style Chinese,Concourse,4.0,6,10456,1233 Grant Ave
1132,NA,No,No,NA,Casual,No,Chinese; ,No,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,NA,NA,No,Under $10,Good Taste Chinese Restaurant,Fordham,5.0,1,10458,209 E 183rd St
1133,NA,Yes,No,Casual,Casual,Yes,Kosher; Chinese; Sushi Bars; ,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Chop Chop,Washington Heights,3.0,37,10033,501 W 184th St
1134,NA,Yes,No,Divey,Casual,Yes,Chinese; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,U Like Chinese Take Out,"Inwood, Washington Heights",3.0,67,10034,4926 Broadway
1135,NA,Yes,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,A,NA,NA,NA,No,NA,Yes,No,NA,NA,NA,Under $10,China Sun,Washington Heights,3.5,20,10033,1270A Saint Nicholas Ave
1136,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,NA,Yes,No,No,NA,No,Under $10,New China Restaurant,Melrose,3.5,10,10455,3035 3rd Ave
1137,NA,Yes,No,NA,Casual,NA,Chinese; ,Yes,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,No,NA,NA,No,Under $10,Hang Lee Chinese,"Inwood, Washington Heights",4.0,24,10034,666 W 204th St
1138,NA,Yes,No,NA,Casual,Yes,Tex-Mex; Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,NA,NA,$11-30,No. 1 Restaurant,Washington Heights,3.5,20,10040,4480 Broadway
1139,NA,No,No,NA,Casual,NA,Chinese; ,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,A,NA,NA,Quiet,No,NA,Yes,No,NA,NA,NA,Under $10,King House,Washington Heights,3.5,12,10032,1053 Saint Nicholas Ave
1140,NA,Yes,No,NA,Casual,NA,Chinese; ,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Free,$11-30,River House Chinese Cuisine,NA,4.0,58,07020,725 River Rd
1141,NA,Yes,No,Casual,Casual,No,Chinese; ,NA,No,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,NA,Under $10,Little China City,Fordham,4.5,20,10458,371 E Fordham Rd
1142,NA,Yes,No,"Casual, Trendy",Casual,Yes,Chinese; Noodles; ,Yes,Yes,No,NA,"Lunch, Dinner",No,Yes,NA,NA,Yes,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,Yes,No,$11-30,The Handpulled Noodle,Harlem,4.0,573,10031,3600 BroadwaySte 3
1143,NA,No,Beer & Wine Only,NA,Casual,Yes,Chinese; Cuban; ,NA,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,NA,Yes,No,NA,NA,Free,$11-30,La Nueva Win Hing Restaurant,Concourse,3.5,22,10452,40 E 167th St
1144,NA,Yes,NA,NA,NA,NA,Chinese; Asian Fusion; ,NA,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Chinito Latino,Washington Heights,3.5,17,10040,122 Dyckman St
1145,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A,NA,NA,Loud,NA,NA,Yes,NA,NA,NA,NA,Under $10,Oriental Chinese Restaruant,Washington Heights,3.5,2,10032,3774 Broadway
1146,NA,No,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,Happy Garden,High Bridge,4.5,3,10452,1150 Ogden Ave
1147,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,NA,No,$11-30,Mei Chung Mei Restaurant,Kingsbridge,4.0,15,10463,157 W 231st St
